word,meaning_zh
eco-friendly,环保的
horticulture,园艺
organism,生物体
genetics,遗传学
mutation,突变
variation,变异
diversity,多样性
hybridisation,杂交
hybridization,杂交
classify,分类
reproduce,繁殖
evolve,进化
fluctuate,波动
reclaim,开垦
cultivate,耕作
sow,播种
harvest,收获
pluck,采摘
pick,捡起；挑选
yield,产量；屈服
rear,饲养
arable,可耕种的
plough,犁
plow,犁
spade,铁锹
rake,耙子
stack,堆叠
heap,一堆
bundle,捆
bunch,串；群
vase,花瓶
sunlight,阳光
short-day,短日照的
shade-tolerant,耐阴的
fungus,真菌
mould,霉菌
mold,霉菌
pollen,花粉
germinate,发芽
seed,种子
burgeon,发芽；迅速成长
bud,花蕾
flower,花
blossom,开花
bloom,开花
scent,香味
aromatic,芳香的
ripen,成熟
fruit,水果
wither,枯萎
decompose,分解
rot,腐烂
decay,腐烂；衰退
stale,陈旧的
rainforest,热带雨林
jungle,丛林
plantation,种植园
field,田野
terrace,梯田
timber,木材
charcoal,木炭
log,原木
logo,标志
forestry,林业
branch,树枝
trunk,树干；后备箱
bough,大树枝
root,根
hay,干草
straw,稻草
reed,芦苇
thorn,刺
weed,野草
grass,草
meadow,草地
lawn,草坪
olive,橄榄
pine,松树
vine,葡萄藤
violet,紫罗兰
tulip,郁金香
mint,薄荷
reef,礁
alga,藻类
enzyme,酶
catalyst,催化剂
release,释放
emission,排放
absorb,吸收
circulation,循环
exceed,超过
uptake,摄入
nutrient,营养物质
energy,能量
surroundings,周围环境
mechanism,机制
counterbalance,抗衡
protect,保护
preserve,保存；保护
conservation,保护；节约
bush fire,丛林火灾
extinguish,熄灭
destruct,摧毁
ruin,毁灭
perish,灭亡；枯萎
demolish,拆除
infringe,侵犯
undermine,破坏
extinction,灭绝
pattern,模式
outcome,结果
impact,影响
seasonal,季节性的
experimental,实验性的
favourable,有利的
favorable,有利的
productive,多产的
effective,有效的
efficient,高效的
considerable,相当大的
massive,巨大的
immense,巨大的
maximal,最大的
minimal,最小的
optimal,最佳的
optimum,最佳的
biologist,生物学家
zoologist,动物学家
ecologist,生态学家
botanist,植物学家
mammal,哺乳动物
primate,灵长类动物
vertebrate,脊椎动物
reptile,爬行动物
amphibian,两栖动物
carnivore,食肉动物
herbivore,食草动物
creature,生物
wildlife,野生动物
fauna,动物群
flora,植物群
species,物种
flock,鸟群；羊群
herd,兽群
swarm,昆虫群
throng,人群
crowd,人群
beast,野兽
brute,残忍的人
cruel,残酷的
originate,起源于
derive,衍生
stem,茎；起源于
ancestor,祖先
descendant,后代
offspring,后代
subgroup,子群
feed,喂养
breed,繁殖；品种
interbreed,杂交
hybridize,杂交
hybridise,杂交
proliferate,繁殖；增殖
sterility,不育
mate,配偶；交配
courtship,求爱
lay,下蛋
hatch,孵化
brood,一窝
spawn,产卵
mature,成熟的
skin,皮肤
claw,爪子
paw,脚掌
beak,鸟嘴
fin,鳍
wing,翅膀
plume,羽毛
feather,羽毛
fur,皮毛
bristle,短且硬的毛
curl,卷发
insect,昆虫
worm,蠕虫
pest,害虫
parasite,寄生虫
spider,蜘蛛
butterfly,蝴蝶
mosquito,蚊子
cricket,蟋蟀
penguin,企鹅
seal,海豹；印章
tortoise,陆龟
turtle,海龟
whale,鲸鱼
kangaroo,袋鼠
camel,骆驼
panda,熊猫
elephant,象
ivory,象牙
horn,角
bear,熊
wolf,狼
dragon,龙
fox,狐狸
cub,幼兽
calf,幼崽
pup,小狗
lamb,小羊
cattle,牛
ox,公牛
bull,公牛
buffalo,水牛
horse,马
zebra,斑马
donkey,驴
saddle,马鞍
harness,马具；利用
falcon,猎鹰
hawk,老鹰
eagle,雕
owl,猫头鹰
swallow,燕子；吞咽
sparrow,麻雀
pigeon,鸽子
crow,乌鸦
swan,天鹅
goose,鹅
cock,公鸡
mouse,老鼠
rat,大老鼠
squirrel,松鼠
hare,野兔
frog,青蛙
behaviour,行为
behavior,行为
bite,咬
sting,螯
bark,吠
roar,咆哮
rub,摩擦
creep,爬行
crawl,蠕动
habitat,栖息地
nest,鸟巢
hive,蜂巢
cell,细胞
cage,笼子
stable,稳定的；马厩
barn,谷仓
hedge,树篱
barrier,屏障
bar,条；杠
anatomy,解剖学
epidemic,传染病
gene,基因
germ,细菌
bacteria,细菌
virus,病毒
microbe,微生物
metabolism,新陈代谢
protein,蛋白质
vitamin,维生素
secrete,分泌
excrete,排泄
devour,吞食
instinct,本能
intuitive,直觉的
potential,潜能
intelligence,智力
functional,功能的
sensitive,敏感的
flexible,灵活的
acoustic,听觉的
optical,光学的
nocturnal,夜间活动的
dormant,休眠的
hibernation,冬眠
track,追踪
trace,追踪
alternate,交替
prey,猎物
predator,捕食者
victim,受害者
captive,俘虏
defensive,防御的
undergo,经历
suffer,遭受
vulnerable,易受伤害的
subsistence,生存
exist,存在
exterminate,根除
tame,驯服的
keeper,看守
shepherd,牧羊人
galaxy,星系
cosmos,宇宙
universe,宇宙
interstellar,星际的
terrestrial,陆地的
celestial,天上的
astronomy,天文学
astrology,占星术
astronaut,宇航员
comet,彗星
meteorite,陨石
crater,坑
dust,灰尘
ash,灰
envelope,信封
chunk,厚块
spacecraft,航天器
spaceship,太空船
probe,探测器
module,模块
propulsion,动力
pressure,压力
dynamics,动力学
motion,运动
vent,排放口
tail,尾巴
curve,曲线
exploration,探索
expedition,远征
flyby,飞越
observatory,天文台
telescope,望远镜
spectacle,壮观场面
orbit,轨道
ecliptic,黄道
diameter,直径
radius,半径
substance,物质
composition,成分
compound,化合物
fossil,化石
sample,样品
specimen,标本
particle,粒子
molecule,分子
atom,原子
ion,离子
electron,电子
quantum,量子
liquid,液体
fluid,流体
solid,固体
synthesise,合成
synthesize,合成
formation,形成
method,方法
spectrum,光谱
dimension,维度
frequency,频率
signal,信号
antenna,天线
circuit,电路
refraction,折射
ultraviolet,紫外线
radioactive,放射性的
distinct,明显的
discernible,可辨别的
invisible,不可见的
collision,碰撞
squash,压碎
fragment,碎片
cataclysmic,灾难性的
overwhelming,压倒性的
despair,绝望
desperate,绝望的
hopeless,无望的
education,教育
primary,初级的
secondary,二级的
university,大学
college,学院
institute,研究所；学院
academy,研究院
learn,学习
study,研究；学习
acquire,获得
knowledge,知识
expertise,专业知识
novice,新手
recruit,招募
literate,有文化的人
illiteracy,文盲
numerate,能识数的
problem,问题
issue,问题；发行
affair,事务
controversial,有争议的
puzzle,难题
riddle,谜语
obscure,模糊的
instil,灌输
instill,灌输
cram,死记硬背
emphasise,强调
emphasize,强调
enhance,提高
enable,使能够
inspire,激励
motive,动机
motivate,激发
stimulate,刺激
spur,刺激
impetus,动力
indulge,放纵
spoil,溺爱；变质
abuse,虐待；滥用
intelligent,聪明的
clever,聪明的
smart,聪明的
all-round,全面的
all-around,全面的
genius,天才
elite,精华；精英
idiot,白痴
wisdom,智慧
wit,风趣；才智
aptitude,天资
capable,有能力的
excellent,优秀的
outstanding,杰出的
brilliant,辉煌的
prestige,名望
reputation,声誉
eminent,杰出的
notorious,臭名昭著的
esteem,尊重
respect,尊重
diligent,勤勉的
painstaking,辛苦的
skill,技能
approach,方法
scheme,计划
headmaster,校长
principal,主要的；校长
dean,系主任
faculty,教职工；学院
professor,教授
scholar,学者
scientist,科学家
mentor,导师
tutor,辅导教师
lecturer,讲师
assistant,助手
candidate,候选人
degree,学位；程度
qualify,使有资格
certify,证明
license,执照
licence,执照
permit,执照；允许
diploma,文凭
diplomat,外交官
ambassador,大使
pupil,学生；瞳孔
graduate,毕业生
ceremony,典礼
bachelor,学士；单身汉
master,硕士；大师
doctor,博士；医生
fresher,大一新生
sophomore,大二学生
junior,大三学生；年少者
senior,大四学生；年长者
alumni,校友
campus,校园
orientation,迎新；取向
platform,平台
coed,男女同校的
co-educational,男女同校的
register,注册
roster,名册
enrol,招收
enroll,招收
matriculation,大学录取
accommodation,住宿
dorm,宿舍
dining hall,食堂
canteen,食堂
laboratory,实验室
lab,实验室
experiment,实验
data,数据
quantity,数量
quality,质量
library,图书馆
literature,文学
article,文章
author,作者
tale,故事
fiction,小说
story,故事
diary,日记
poetry,诗歌
magazine,杂志
journal,刊物
coverage,新闻报道
bibliography,参考书目
encyclopedia,百科全书
encyclopaedia,百科全书
biography,传记
documentary,纪录片
series,系列
record,记录
file,档案
profile,简介
draft,草稿
sketch,素描
brochure,小册子
manual,手册；手动的
frame,框架
index,索引
catalogue,目录
catalog,目录
category,类别
inventory,清单
content,内容；满足的
context,语境
list,列表
chapter,章节
volume,卷；体积
reel,卷筒
subject,科目；主题
object,物体；反对
major,主要的；专业
minor,轻微的；辅修
sociology,社会学
politics,政治
economics,经济学
marketing,市场营销
accounting,会计
audit,审计
statistics,统计学
psychology,心理学
philosophy,哲学
logic,逻辑
biology,生物学
physics,物理学
chemistry,化学
agriculture,农业
logistics,物流
geography,地理
history,历史
engineering,工程
mechanics,力学
electronics,电子学
maths,数学
mathematics,数学
arithmetic,算术
geometry,几何
algebra,代数
calculus,微积分
plus,加
sum,和
total,总计
merger,合并
equation,等式
identical,恒等的
minus,减
subtract,减去
multiply,乘
divide,除
dividend,红利；被除数
remainder,余数
rational,有理的；理性的
parameter,参数
variable,变量
even,偶数的；平坦的
odd,奇数的；古怪的
mean,平均值；意味着
double,两倍的
triple,三倍的
quadruple,四倍的
multiple,倍数；多样的
maximum,最大值
minimum,最小值
approximately,大概
chart,图表
graph,图表
diagram,图表
table,表格；桌子
matrix,矩阵
rectangle,长方形
cube,立方体
angle,角度
triangle,三角形
diagonal,对角线
straight,直的
circle,圆
round,圆的
dot,点
sphere,球
cone,圆锥
extent,程度
width,宽度
length,长度
decimal,小数的
percent,百分比
per cent,百分比
proportion,比例
rate,速率；比例
ratio,比；比率
fraction,分数；小部分
scale,规模；天平
ounce,盎司
density,密度
Fahrenheit,华氏的
mercury,水银
battery,电池
volt,伏特
radiate,辐射
emit,发出
transparent,透明的
hollow,空的
ozone,臭氧
gravity,重力
friction,摩擦
eccentric,古怪的
displace,取代；置换
boil,沸腾
melt,融化
dissolve,溶解
rust,锈
ferment,发酵
dilute,稀释
acid,酸
noxious,有害的
static,静态的
inert,惰性的
inherent,固有的
formula,公式
component,成分
compose,组成
mixture,混合物
blend,混合
theory,理论
empirical,经验主义的
practical,实用的
doctrine,教义
principle,原则
discipline,学科；纪律
term,学期；术语
semester,学期
timetable,时刻表
schedule,进度表
deadline,最后期限
course,课程
lesson,课
curriculum,课程
seminar,研讨会
forum,论坛
syllabus,教学大纲
system,系统
rudimentary,基础的
basic,基础的
fundamental,基本的
elementary,基本的
profound,深奥的
surface,表面
compulsory,强制的
prerequisite,前提条件
selective,选拔的
elective,选修的
assignment,作业
submit,提交
preview,预习
review,复习
revise,修改
inspect,检查
consult,咨询
skim,略读
scan,扫描；细看
scrutinise,细阅
scrutinize,细阅
recite,背诵
dictate,听写
examination,考试
exam,考试
test,测试
quiz,测验
presentation,陈述
plagiarise,剽窃
plagiarize,剽窃
copy,照搬；复写
print,印刷
thesis,论文
essay,短论
paper,报告；论文
dissertation,专题论文
project,研究课题
heading,标题
outset,开端
outline,大纲
point,论点
gist,要点
opinion,意见
introduce,介绍
reference,参考
cite,引用
elicit,得出
quote,引用
extract,摘录
abstract,摘要
summary,总结
assume,假定
presume,假设
suppose,假设
hypothesis,假设
postulate,假设
speculate,推测
predict,预言
perceive,察觉
detect,察觉
discern,辨别
recognise,识别
recognize,识别
conscious,有意识的
reckon,估计
deem,认为
imply,暗示
deliberate,深思熟虑的
represent,代表
insist,坚持要求
persist,坚持
understand,理解
comprehend,理解
analyse,分析
analyze,分析
diagnose,诊断
infer,推断
deduce,推导
conclude,推断出
analogy,类比
compare,比较
contrast,对比
overlap,重叠
contradiction,矛盾
disagree,不同意
differ,不同
diverse,多样的
nuance,细微差别
inductive,归纳的
detail,细节
thorough,彻底的
example,例子
instance,实例
confirm,确认
demonstrate,演示
illustrate,阐明
manifest,证明
prove,证明
determine,确定
decide,决定
resolve,下决心
survey,调查
research,研究
observe,观察
inquire,咨询
enquire,查询
query,疑问
questionnaire,问卷
achieve,实现
accomplish,完成
attain,获得
credit,学分
score,分数
mark,打分
grade,打分
rank,排名
row,排
queue,列
grant,补助金
praise,赞美
appreciate,感激
feedback,反馈
underestimate,低估
overestimate,高估
apply,申请
fellowship,奖学金
scholarship,奖学金
reward,报酬
award,奖励
prize,奖品
fee,费
technology,技术
technique,技巧
polytechnic,理工学院
engineer,工程师
mechanic,机修工
advance,进步
innovate,创新
breakthrough,突破
gizmo,小发明
patent,专利
devise,设计
invent,发明
discover,发现
disclose,透露
reveal,揭示
uncover,揭开
expose,暴露
domain,领域
realm,范畴
foundation,基础
specialise,专门研究
specialize,专门研究
concentrate,集中
focus,聚焦
utilise,利用
utilize,利用
usage,用法
tester,试验器
device,装置
appliance,器具
facility,设备
equipment,器材
instrument,仪器
tool,工具
gauge,测量仪表
measure,测量
calculate,计算
compute,估算
count,数
estimate,估计
assess,评定
evaluate,估价
accessory,附件
byproduct,副作用
auxiliary,辅助的
versatile,多才多艺的
add,增加
accumulate,累计
assemble,集合
gather,汇集
attach,装上
belong,应归入
optics,光学
microscope,显微镜
lens,透镜
radar,雷达
echo,回声
sensor,传感器
multimedia,多媒体
network,网络
browser,浏览器
dial,刻度盘
microcomputer,微型计算机
laptop,笔记本电脑
software,软件
keyboard,键盘
screen,屏幕
loudspeaker,扬声器
microphone,麦克风
cassette,盒式磁带
tape,磁带
binary,二进制的
digital,数字的
wireless,无线的
high-definition,高清晰度的
audio,音频的
vision,幻象；视觉
fantasy,幻想
science fiction,科幻小说
sci-fi,科幻小说
pump,泵
generator,发电机
gear,齿轮
pivot,枢轴
hydraulic,液压的
drainage,排水
sewage,污水
ventilation,通风
compress,压缩
condense,凝缩
refine,精炼
simplify,简化
purify,净化
filter,过滤
distil,蒸馏
distill,蒸馏
mode,方式
prototype,原型
framework,构架
aspect,方面
phase,阶段
operate,运转
facilitate,使便利
transform,转换
convert,改变
alter,改动
shift,转移
turn,转变
adapt,使适应
adjust,调节
pinpoint,精确地找出
accurate,精确的
precise,精确的
correct,正确的
error,差错
mistake,错误
flaw,缺陷
wrong,错误的
fault,毛病
stumble,绊倒
contingency,偶发事件
circumstance,环境；境况
culture,文化
civilisation,文明
civilization,文明
renaissance,文艺复兴
epic,史诗
ideology,意识形态
tradition,传统
convention,习俗
custom,风俗
feudalism,封建制度
slavery,奴隶制
ethical,道德的
moral,道德的
tribe,部落
aboriginal,土著的
inhabitant,居民
native,本地人
local,当地的
exotic,异国情调的
foreigner,外国人
alien,外星人；外国人
anthropologist,人类学家
humanitarian,人道主义者
heritage,遗产
inherit,继承
antique,古董
archaeology,考古学
excavate,挖掘
museum,博物馆
pottery,陶器
engrave,雕刻
decorate,装饰
religion,宗教
ritual,仪式
etiquette,礼节
belief,信仰
soul,灵魂
spirit,精神
sacred,神圣的
hallowed,神圣的
holy,神圣的
Pope,教皇
bishop,主教
missionary,传教士
priest,牧师
Bible,圣经
church,教堂
cathedral,大教堂
choir,合唱队
monk,僧侣
temple,庙宇
pagoda,宝塔
empire,帝国
imperial,帝国的
royal,王室的
dynasty,王朝
chronology,年表
emperor,皇帝
king,国王
queen,女王
prince,王子
princess,公主
majesty,陛下；雄伟
nobility,贵族
lord,领主
knight,骑士
guardian,护卫者
nostalgia,怀旧
homesick,想家的
celebrity,名人
status,地位
background,背景
experience,经验
anecdote,轶事
accident,事故
incident,发生的事
thrive,繁荣
prosperity,繁荣
setback,挫折
adversity,逆境
language,语言
symbol,符号
sign,标记
gesture,手势
handwriting,书法
pictograph,象形文字
wedge,楔子
knot,结
linguistics,语言学
semantic,语义的
syntax,句法
grammar,语法
phonetics,语音学
pronounce,发音
intonation,语调
inflection,语调的抑扬
dialect,方言
accent,口音
utterance,言语
oral,口头的
verbal,口头的
syllable,音节
phoneme,音素
vowel,元音
consonant,辅音
alphabet,字母表
logogram,语标符号
vocabulary,词汇
dictionary,字典
idiom,成语
phrase,短语
clause,从句
expression,词句
tense,时态
prefix,前缀
suffix,后缀
abbreviation,缩写词
synonym,同义词
antonym,反义词
noun,名词
singular,单数的
plural,复数的
pronoun,代词
verb,动词
adjective,形容词
adverb,副词
preposition,介词
conjunction,连词
consistent,一致的
complicated,复杂的
complex,复杂的
compile,汇编
version,译本；版本
translate,翻译
paraphrase,解释
interpret,口译
narrate,叙述
illuminate,阐明
decipher,译解
eloquence,雄辩
communicate,交流
discussion,讨论
brainstorm,头脑风暴
debate,辩论
commentary,解说
negotiate,谈判
contention,争论
medium,媒体
press,报刊
journalist,新闻记者
critic,评论家
commentator,评论员
exponent,解释者
announcer,播音员
correspondent,通讯员
messenger,报信者
editor,编辑
typist,打字员
handout,施舍物
leaflet,传单
propaganda,宣传
publish,发表
disseminate,散布
foresee,预见
anticipate,预料
expect,期待
await,等候
pastime,消遣
entertain,娱乐
recreation,消遣
amuse,逗乐
gossip,流言蜚语
rumour,谣言
rumor,谣言
consensus,意见一致
festival,节日
feast,盛宴
programme,节目
program,节目
rehearsal,排演
perform,演出
imitate,模仿
mimic,模仿
simulate,模拟
circus,马戏团
magic,魔术
drama,戏剧
concert,音乐会
symphony,交响曲
orchestra,管弦乐队
ballet,芭蕾舞
opera,歌剧
comedy,喜剧
tragedy,悲剧
animation,动画
film,电影
movie,电影
X-rated,X级的
artist,艺术家
craftsman,工匠
painter,画家
role,角色
scene,场景
stage,舞台
gallery,画廊
exhibition,展览
aesthetic,美学的
esthetic,美学的
collect,收藏
select,挑选
opt,挑选
photograph,照相
portrait,肖像
painting,油画
sculpture,雕塑
draw,画
depict,描绘
describe,描写
carve,雕刻
improvise,临时凑成
musical,音乐的
classical,古典的
jazz,爵士乐
rock,摇滚乐
hip-hop,希普霍普
pop,流行音乐
lyric,抒情词
band,乐队
solo,独奏
melody,旋律
rhythm,节奏
tone,音调
tune,曲调
disc,唱片
disk,磁碟
piano,钢琴
violin,小提琴
cello,大提琴
guitar,吉他
harmonica,口琴
trumpet,喇叭
drum,鼓
flute,笛子
competition,竞赛
tournament,锦标赛
Olympic,奥林匹克的
sponsor,赞助人
patron,赞助人
athlete,运动员
champion,冠军
spectator,观众
volunteer,志愿者
famous,著名的
well-known,众所周知的
energetic,精力充沛的
vigorous,精力旺盛的
stadium,体育场
gym,体育馆
training,训练
exercise,练习
indoor,室内的
outdoor,室外的
mobile,移动的
movement,动作
yoga,瑜伽
sprawl,伸开四肢坐
stretch,伸展
strain,拉紧
chess,象棋
badminton,羽毛球
golf,高尔夫球
billiards,台球
soccer,英式足球
tennis,网球
volleyball,排球
hockey,曲棍球
goal,得分
bat,球棒
racket,球拍
kick,踢
knock,敲
flip,轻弹
pitch,投掷
throw,扔
toss,扔
slide,滑
slip,滑倒
glide,滑行
tumble,摔倒
ski,滑雪
skate,溜冰
cycling,自行车运动
dive,潜水
drift,漂流
jump,跳
leap,跳跃
plunge,投入
hop,单脚跳
bounce,弹回
tent,帐篷
camp,野营
picnic,野餐
hunt,猎取
race,赛跑
marathon,马拉松
pedestrian,徒步的
pace,步子
step,步
excursion,远足
cruise,乘船游览
trip,旅行
vacation,休假
hike,徒步旅行
jog,慢跑
stride,大步走
wander,漫步
linger,流连
lag,落后
climb,攀登
pull,拉
drag,拖
bend,弯曲
bow,鞠躬
stuff,材料；东西
item,项目；条款
merchandise,商品
souvenir,纪念品
artifact,手工艺品
artefact,手工艺品
material,材料
raw,生的；未加工的
crude,天然的
necessity,必需品
outfit,全套装备
kit,成套工具
utensil,器皿
garbage,垃圾
rubbish,垃圾
trash,垃圾
recycle,回收
reuse,再使用
litter,乱丢
waste,废料
junk,废旧杂物
landfill,垃圾填埋场
sewerage,排水系统
detergent,清洁剂
lotion,洗剂
shampoo,洗发剂
soap,肥皂
tub,浴盆
plug,塞子
tap,龙头
pipe,管子
tube,管子
mop,拖把
broom,扫帚
sweep,清扫
mattress,床垫
carpet,地毯
rug,地毯
mat,席子
cushion,垫子
pad,衬垫
blanket,毛毯
quilt,被子
sheet,床单
pillow,枕头
sponge,海绵
towel,毛巾
staple,订书钉
nail,钉子
razor,剃刀
shave,刮
fuse,保险丝
cable,缆
cord,细绳
strand,绳
match,火柴
candle,蜡烛
wax,蜡
portfolio,公文包
paperback,平装本
pamphlet,小册子
tissue,纸巾
cover,封面
Xerox,复印
duplicate,复制
memorandum,备忘录
stationery,文具
glue,胶水
ink,墨水
rubber,橡胶
scissors,剪刀
shear,剪
edge,边缘
rim,边
element,要素
factor,因素
section,部分
tag,标签
label,标签
badge,徽章
bolt,螺栓
knob,旋钮
handle,把手
shutter,百叶窗
curtain,窗帘
pane,窗格玻璃
opacity,不透明性
jar,罐子
barrel,桶
bucket,水桶
pail,桶
phone,电话
bell,钟
camera,照相机
portable,轻便的
spotlight,探照灯
lantern,灯笼
bulb,灯泡
flashlight,手电筒
refrigerator,冰箱
fridge,冰箱
vacuum,真空
fan,风扇
switch,开关
hurdle,篱笆
fence,栅栏
pedal,踏板
shelf,架子
ladder,梯子
lift,电梯
stool,凳子
drawer,抽屉
umbrella,伞
raincoat,雨衣
dredge,清淤
can,罐子
mill,磨坊
forge,锻造
alloy,合金
metal,金属
iron,铁
lead,铅
brass,黄铜
bronze,青铜
cement,水泥
lime,石灰
plaster,灰泥
leather,皮革
plastic,塑料
fiber,纤维
fibre,纤维
fabric,织物
knit,编织
weave,编织
canvas,帆布
linen,亚麻
cotton,棉花
nylon,尼龙
lumber,木材
wooden,木制的
mine,矿
pit,坑
fuel,燃料
lubricate,润滑
diamond,钻石
crystal,水晶
inferior,低等的
counterfeit,伪造的
fake,冒充的
fragile,易碎的
miniature,微型的
available,现有的
durable,耐用的
fashion,时尚
style,风格
trend,趋向
tendency,倾向
popularity,流行
vogue,时尚
prevail,流行
model,模特
icon,图标
idol,偶像
luxury,奢侈
extravagant,多余的
jewelry,珠宝
jewellery,珠宝
jewel,宝石
gem,宝石
jade,玉
adorn,装饰
ornament,装饰
embellish,装饰
embroider,刺绣
hairdressing,美发
pigment,颜料
dye,染料
masquerade,化装舞会
veil,面纱
costume,服装
fascinate,入迷
decent,正派的
exquisite,精致的
grace,优雅
elegance,高雅
perfect,完美的
appearance,外观
cosmetics,化妆品
make-up,化妆
handsome,英俊的
charming,迷人的
pretty,漂亮的
beautiful,美丽的
ugly,丑陋的
dress,穿着
clothe,穿着
uniform,制服
garment,服装
laundry,洗衣店
wardrobe,衣柜
overall,工装
overcoat,大衣
robe,袍子
gown,长裙
sweater,运动衫
jacket,夹克
skirt,裙子
jeans,牛仔裤
trousers,裤子
clasp,扣子
button,按钮
glove,手套
hat,帽子
cap,帽子
brim,边
scarf,围巾
handkerchief,手帕
purse,钱包
wallet,钱包
vest,背心
wrap,包裹
cloak,斗篷
collar,领子
sleeve,袖子
sock,短袜
stocking,长袜
slipper,拖鞋
boot,靴子
lace,花边
tailor,鞋匠
sew,鞋
spin,纺织
stitch,缝合
needle,针
pin,别针
string,线
thread,线
strap,带子
stripe,条纹
ribbon,丝带
belt,腰带
chain,链子
bracelet,手镯
necklace,项链
bead,小珠子
textile,纺织品
velvet,丝绒
wool,羊毛
patch,补丁
rag,抹布
shabby,简陋的
tight,紧的
colour,颜色
color,颜色
white,白色
yellow,黄色
brown,棕色
grey,灰色
gray,灰色
pink,粉红色
purple,紫色
tan,棕褐色的
fade,褪色
stain,染色
blot,墨迹
figure,体形
slender,苗条的
slight,轻微的
food,食物
diet,饮食
appetite,胃口
treat,款待
